nada,latitude,longitude,Matriculas
49,-7.5114399999999995,-37.6357,6.39024066706535
79,-7.0918,-38.1681,5.713732805509369
87,-7.03943,-35.6206,7.742835955430749
88,-7.05377,-35.7591,7.579167967396076
89,-6.9465699999999995,-35.5332,6.522092798170152
97,-7.736680000000001,-36.0511,5.556828061699537
115,-6.892919999999999,-36.0129,5.0238805208462765
116,-7.4297699999999995,-34.9057,7.9724660159745655
205,-7.55502,-37.0628,4.584967478670572
268,-6.784660000000001,-38.0803,6.028278520230698
292,-6.8437399999999995,-35.3737,6.838405200847344
340,-6.828130000000001,-35.7552,6.901737206656574
351,-6.5484800000000005,-35.7498,6.715383386334681
367,-6.96396,-35.6977,7.720461694599722
370,-7.11702,-36.9404,4.394449154672439
371,-7.04789,-35.9313,6.025865973825314
388,-7.54473,-35.7066,7.252762418053187
412,-7.072310000000001,-36.725,4.5217885770490405
454,-6.692089999999999,-34.9381,7.097548850614793
478,-6.74775,-35.6246,6.97914527506881
496,-6.63484,-36.2601,5.62040086571715
511,-6.718160000000001,-36.0671,6.436150368369428
512,-7.518089999999999,-35.9913,6.0330862217988015
515,-7.74603,-36.3209,6.1224928095143865
567,-7.1238,-34.9293,8.688790784847216
581,-6.742610000000001,-35.5166,7.171656822768514
584,-6.18515,-37.5348,6.154858094016418
610,-6.44572,-38.5521,5.062595033026967
639,-7.40982,-38.2113,5.929589143389895
643,-7.26365,-36.2357,5.934894195619588
678,-6.81601,-38.6453,4.672828834461906
703,-6.4417599999999995,-37.9234,5.991464547107982
718,-7.31341,-38.5133,6.495265555937008
720,-7.487,-36.1309,7.233455418621439
728,-6.801989999999999,-35.6187,5.8289456176102075
771,-6.34185,-37.4943,5.8805329864007
773,-6.37065,-37.8253,5.857933154483459
817,-7.513510000000001,-34.9055,7.122059881629142
820,-7.488989999999999,-36.287,5.786897381366708
825,-6.987310000000001,-34.8284,8.085486772102845
848,-6.913530000000001,-38.676,6.261491684321042
858,-7.1212800000000005,-37.1563,4.653960350157523
859,-6.6386,-35.7778,6.990256500493881
860,-7.207210000000001,-37.0604,5.713732805509369
884,-6.62115,-35.4581,6.274762021241939
895,-6.880039999999999,-38.5577,8.703838719690246
897,-6.960160000000001,-37.8009,4.897839799950911
906,-7.1025,-35.3272,5.87493073085203
917,-7.88503,-36.8242,6.035481432524756
946,-7.22196,-35.8731,10.362240631009008
1064,-6.916239999999999,-35.1673,6.142037405587356
1101,-7.72049,-36.492,5.648974238161206
1149,-7.03414,-38.3399,4.955827057601261
1166,-6.779539999999999,-35.8179,5.720311776607412
1189,-7.120080000000001,-37.6064,5.3706380281276624
1191,-6.3406199999999995,-37.747,7.705262474866325
1198,-7.416589999999999,-36.0306,6.214608098422191
1324,-7.5510600000000005,-38.5014,7.576097340623111
1349,-6.89831,-37.606,6.0473721790462776
1351,-7.257460000000001,-34.8999,7.356918242356021
1358,-7.790780000000001,-36.6581,6.100318952020064
1387,-7.00712,-37.9346,6.813444599510896
1443,-7.62365,-36.6064,5.117993812416755
1475,-7.1390199999999995,-35.0857,7.55171221535131
1490,-6.866860000000001,-36.3619,5.857933154483459
1492,-6.47647,-36.1515,7.782807262839695
1493,-6.91292,-35.2502,5.631211781821365
1494,-6.89058,-35.5215,5.8971538676367405
1513,-6.72325,-35.2639,5.720311776607412
1516,-7.53075,-38.1962,4.859812404361672
1527,-6.63161,-35.9101,5.723585101952381
1547,-7.287000000000001,-37.0925,6.851184927493743
1552,-7.4173800000000005,-38.2615,6.182084906716632
1610,-6.615660000000001,-35.6205,6.135564891081739
1633,-6.684989999999999,-35.418,5.834810737062605
1654,-7.099639999999999,-37.7163,5.3612921657094255
1694,-7.02278,-35.8597,7.425357887027151
1735,-7.344539999999999,-35.7931,6.669498089857879
1861,-6.39759,-36.4526,4.969813299576001
1874,-7.582789999999999,-35.7899,6.018593214496234
2000,-6.850639999999999,-35.485,8.490438454107418
2047,-7.1233,-35.4222,6.813444599510896
2048,-7.24833,-36.4923,5.60947179518496
2093,-7.47957,-38.4059,6.484635235635252
2141,-7.1718399999999995,-38.1478,6.507277712385012
2175,-7.3889,-37.5079,6.744059186311348
2202,-7.281439999999999,-35.605,6.899723107284872
2283,-7.33167,-35.3317,7.588829878307813
2392,-7.30202,-38.1504,7.608374474380783
2394,-6.823739999999999,-35.2406,7.103322062526113
2419,-7.38115,-35.638000000000005,6.60934924316738
2471,-6.61453,-35.289,6.654152520183219
2572,-6.54577,-37.8036,5.811140992976701
2595,-7.1150899999999995,-34.8641,10.882809420012913
2603,-6.483619999999999,-38.4764,4.77912349311153
2619,-7.1713,-35.5686,6.617402977974478
2622,-7.060919999999999,-36.5793,6.816735880594968
2637,-6.99269,-36.7166,5.986452005284438
2652,-7.36176,-35.2321,7.068172000388042
2653,-7.5298300000000005,-37.815,6.285998094508865
2680,-6.585719999999999,-37.9127,5.981414211254481
2687,-6.67213,-35.3706,6.553933404025811
2712,-7.15535,-35.8491,6.742880635791903
2748,-6.50603,-38.1742,5.407171771460119
2787,-7.37113,-36.9491,5.545177444479562
2792,-6.611910000000001,-35.4384,5.793013608384144
2802,-6.90258,-34.8748,6.837332814685591
2852,-7.25201,-37.4322,4.6443908991413725
2875,-6.897189999999999,-37.5221,5.860786223465865
2876,-6.8337,-35.1213,8.289037098278483
2882,-7.703310000000001,-38.1523,6.690842277418564
2935,-6.76535,-35.0087,7.0630481633881725
2948,-7.059419999999999,-35.318000000000005,7.6760099320288875
2972,-6.82748,-38.3528,5.564520407322694
2989,-7.18995,-35.7848,6.838405200847344
2997,-6.59673,-35.0531,6.317164686747284
3008,-7.124860000000001,-35.7669,6.3080984415095305
3012,-6.54018,-37.7279,4.68213122712422
3024,-7.261880000000001,-37.351,5.739792912179234
3108,-7.28517,-35.4832,7.115582126184454
3127,-7.088480000000001,-35.9592,5.652489180268651
3153,-7.20402,-38.5838,5.521460917862246
3160,-7.88363,-37.1184,7.355641102974253
3210,-7.02525,-35.46,7.2196420401307355
3245,-7.63514,-35.5586,6.257667587882639
3254,-6.9114,-38.321999999999996,6.126869184114185
3323,-6.45056,-36.2057,6.650279048587422
3355,-7.47232,-38.0382,6.257667587882639
3360,-6.67122,-36.422,5.3981627015177525
3435,-7.22118,-37.7406,6.453624998892692
3448,-6.9843399999999995,-36.241,5.393627546352362
3486,-7.616039999999999,-37.1519,4.867534450455582
3603,-7.30975,-36.6522,5.75890177387728
3633,-7.13467,-37.0433,4.219507705176107
3647,-7.01743,-37.2747,8.62748154531036
3667,-6.59138,-37.6185,6.102558594613569
3690,-7.421689999999999,-38.0689,5.902633333401366
3697,-6.749969999999999,-36.4758,6.059123195581797
3705,-7.39107,-35.1065,7.133295954896068
3725,-6.63323,-35.2966,5.808142489980444
3768,-7.192819999999999,-37.9289,6.684611727667927
3774,-6.50845,-36.3497,6.741700694652055
3782,-7.26403,-35.2523,6.985641817639208
3787,-6.86827,-35.613,6.659293919683638
3788,-6.84277,-35.531,5.676753802268282
3863,-6.77922,-35.4906,6.799055862058796
3868,-7.4664,-34.8151,6.894670039433482
3888,-7.06658,-36.0668,7.10085190894405
3890,-6.39876,-38.4909,5.043425116919247
3893,-6.564010000000001,-38.5111,5.493061443340548
3903,-6.76606,-37.8003,7.803843303538772
4006,-7.6882600000000005,-37.0801,6.2422232654551655
4044,-7.73175,-37.9886,7.503840746698951
4055,-7.154789999999999,-35.9543,7.587310506022615
4070,-7.350289999999999,-35.9031,7.995643604287271
4089,-7.0224,-37.1458,4.248495242049359
4125,-6.94992,-35.8011,7.149131598557407
4138,-6.54269,-35.661,5.187385805840755
4141,-7.25347,-35.6693,6.061456918928017
4144,-7.14173,-35.2914,6.0844994130751715
4151,-7.68023,-36.157,5.123963979403259
4152,-6.44067,-37.6483,5.680172609017068
4244,-6.8038300000000005,-35.0776,7.88193748927207
4309,-7.10098,-36.8458,4.948759890378168
4312,-7.35337,-35.4305,6.842683282238422
4361,-7.7389,-35.8764,5.91350300563827
4367,-6.5237,-38.0617,6.173786103901937
4401,-6.7176,-38.6427,6.309918278226516
4406,-7.621,-38.554,5.288267030694535
4422,-6.86092,-36.9178,7.346655163176539
4452,-7.11724,-34.9753,9.249849505070895
4480,-7.0796399999999995,-37.4435,5.459585514144159
4501,-7.54705,-38.3236,5.62040086571715
4521,-7.38162,-37.9819,6.444131256700441
4535,-7.220160000000001,-36.6213,4.584967478670572
4585,-6.885960000000001,-37.7243,5.3471075307174685
4586,-6.48529,-37.4488,7.428927194802272
4614,-6.80313,-37.9488,5.393627546352362
4621,-7.6327300000000005,-36.4374,4.77912349311153
4639,-6.60773,-38.0968,4.962844630259907
4709,-7.38168,-36.5345,6.0330862217988015
4724,-6.72195,-38.4468,7.353081920515432
4728,-8.07703,-36.8547,5.214935757608986
4746,-6.93646,-38.1622,5.929589143389895
4755,-7.246360000000001,-38.2989,6.3473892096560105
4756,-6.839739999999999,-37.3214,5.752572638825633
4758,-7.1187,-38.501999999999995,7.085064293952548
4759,-7.736330000000001,-38.0894,5.488937726156687
4765,-7.1607,-37.3036,4.787491742782046
4766,-6.21054,-37.3601,4.6443908991413725
4789,-6.76295,-36.7972,4.9344739331306915
4797,-7.38775,-36.8085,5.961005339623274
4800,-7.2523800000000005,-35.3725,5.75890177387728
4820,-6.92386,-37.0954,6.19644412779452
4836,-7.24764,-35.2016,6.803505257608338
4893,-7.110339999999999,-35.8678,6.870053411798126
4905,-8.15289,-37.0138,5.1298987149230735
4922,-6.854260000000001,-36.4122,7.065613363597717
4926,-7.09359,-35.228,8.250358951477294
4996,-7.480339999999999,-36.666,7.109062135687172
4998,-6.68527,-35.4379,5.869296913133774
5007,-7.209569999999999,-38.3647,5.049856007249537
5012,-7.18622,-35.6842,6.921658184151129
5021,-6.815689999999999,-35.6282,6.51471269087253
5034,-6.75127,-35.4372,6.421622267806518
5074,-7.14429,-35.2357,5.973809611869261
5079,-6.75161,-35.6636,7.677400430514807
5080,-7.0582899999999995,-36.3668,6.483107351457199
5090,-6.77067,-36.2538,5.476463551931511
5092,-6.75148,-38.2311,8.8963143241848
5101,-7.66206,-36.884,7.097548850614793
5121,-6.48759,-35.6367,6.4692503167957724
5155,-7.206289999999999,-36.8245,6.980075940561763
5187,-7.62697,-37.8712,6.492239835020471
5189,-7.2210399999999995,-37.2525,6.9363427358340495
5201,-6.93855,-36.6273,5.247024072160486
5301,-6.5713,-38.5986,6.0473721790462776
5365,-6.51504,-38.4128,7.047517221357296
5372,-7.69199,-35.6582,6.144185634125646
5446,-6.761889999999999,-36.9913,4.663439094112067
5501,-6.50684,-38.2567,5.720311776607412
5531,-6.7303,-37.5704,5.043425116919247
5566,-8.07901,-37.1057,4.653960350157523
