nada,latitude,longitude,GRE
49,-7.5114399999999995,-37.6357,10
79,-7.0918,-38.1681,6
87,-7.03943,-35.6206,2
87,-7.03943,-35.6206,2
87,-7.03943,-35.6206,2
87,-7.03943,-35.6206,2
88,-7.05377,-35.7591,2
88,-7.05377,-35.7591,2
89,-6.9465699999999995,-35.5332,1
97,-7.736680000000001,-36.0511,2
115,-6.892919999999999,-36.0129,2
116,-7.4297699999999995,-34.9057,0
116,-7.4297699999999995,-34.9057,0
116,-7.4297699999999995,-34.9057,0
205,-7.55502,-37.0628,4
268,-6.784660000000001,-38.0803,9
292,-6.8437399999999995,-35.3737,1
292,-6.8437399999999995,-35.3737,1
340,-6.828130000000001,-35.7552,2
340,-6.828130000000001,-35.7552,2
351,-6.5484800000000005,-35.7498,1
351,-6.5484800000000005,-35.7498,1
367,-6.96396,-35.6977,2
367,-6.96396,-35.6977,2
367,-6.96396,-35.6977,2
367,-6.96396,-35.6977,2
370,-7.11702,-36.9404,5
371,-7.04789,-35.9313,2
388,-7.54473,-35.7066,2
388,-7.54473,-35.7066,2
412,-7.072310000000001,-36.725,2
454,-6.692089999999999,-34.9381,13
454,-6.692089999999999,-34.9381,13
454,-6.692089999999999,-34.9381,13
478,-6.74775,-35.6246,1
478,-6.74775,-35.6246,1
496,-6.63484,-36.2601,3
511,-6.718160000000001,-36.0671,3
511,-6.718160000000001,-36.0671,3
512,-7.518089999999999,-35.9913,2
515,-7.74603,-36.3209,2
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
567,-7.1238,-34.9293,0
581,-6.742610000000001,-35.5166,1
581,-6.742610000000001,-35.5166,1
584,-6.18515,-37.5348,7
584,-6.18515,-37.5348,7
610,-6.44572,-38.5521,8
639,-7.40982,-38.2113,6
643,-7.26365,-36.2357,2
678,-6.81601,-38.6453,8
703,-6.4417599999999995,-37.9234,7
703,-6.4417599999999995,-37.9234,7
718,-7.31341,-38.5133,8
